TimeGenerated,AccountName,OperationName,AuthenticationType,CallerIpAddress,RequesterObjectId,RequesterUpn,RequesterAppId,Uri,ObjectKey,StatusCode,StatusText,ResponseBodySize,RequestBodySize,UserAgentHeader,Category,Protocol,TlsVersion,CorrelationId
2026-06-10T10:19:27Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/exports/customer-master.csv,/stcontosofin/finance/exports/customer-master.csv,200,Success,73400320,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a05
2026-06-10T10:20:03Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/exports/gl-fy2025-full.csv,/stcontosofin/finance/exports/gl-fy2025-full.csv,200,Success,512000000,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a06
2026-06-10T10:20:48Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/exports/bank-statements-2025.zip,/stcontosofin/finance/exports/bank-statements-2025.zip,200,Success,268435456,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a07
2026-06-10T10:21:22Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/exports/forecast-model-2026.xlsx,/stcontosofin/finance/exports/forecast-model-2026.xlsx,200,Success,15728640,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a08
2026-06-10T10:21:55Z,stcontosofin,GetBlob,Anonymous,185.220.101.2:54998,,,,https://stcontosofin.blob.core.windows.net/public-finance/disclosures/q1-press.pdf,/stcontosofin/public-finance/disclosures/q1-press.pdf,200,Success,2097152,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a09
2026-06-10T10:22:14Z,stcontosofin,GetBlob,Anonymous,185.220.101.2:54998,,,,https://stcontosofin.blob.core.windows.net/public-finance/disclosures/vendor-list.csv,/stcontosofin/public-finance/disclosures/vendor-list.csv,200,Success,9437184,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a10
2026-06-10T10:22:39Z,stcontosofin,ListBlobs,Anonymous,185.220.101.2:54998,,,,https://stcontosofin.blob.core.windows.net/public-finance?restype=container&comp=list,/stcontosofin/public-finance,200,Success,12288,0,"curl/8.4.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a11
2026-06-10T10:23:05Z,stcontosofin,GetBlob,SAS,185.220.101.2:55230,,,,https://stcontosofin.blob.core.windows.net/finance/exports/payroll-detail-2026.csv,/stcontosofin/finance/exports/payroll-detail-2026.csv,403,AuthorizationFailure,0,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a12
2026-06-10T10:23:41Z,stcontosofin,DeleteBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/exports/.audit/access-log.json,/stcontosofin/finance/exports/.audit/access-log.json,202,Accepted,0,0,"python-requests/2.31.0",StorageDelete,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a13
2026-06-10T10:24:18Z,stcontosofin,GetBlob,AccountKey,185.220.101.2:54110,,,,https://stcontosofin.blob.core.windows.net/finance/exports/missing-file.csv,/stcontosofin/finance/exports/missing-file.csv,404,BlobNotFound,0,0,"python-requests/2.31.0",StorageRead,HTTPS,TLS 1.2,7f3a0e11-2c44-4b90-bb22-9e8d7c6b5a14
2026-06-10T10:26:50Z,stcontosofin,GetBlob,OAuth,52.170.12.45:49880,b7e2c1a0-2071-4a55-9c31-aa0011223344,alexw@contoso.com,04b07795-8ddb-461a-bbee-02f9e1bf7b46,https://stcontosofin.blob.core.windows.net/finance/reports/2026-Q1-summary.xlsx,/stcontosofin/finance/reports/2026-Q1-summary.xlsx,200,Success,184320,0,"Microsoft Azure Storage Explorer, 1.32.1",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e07
2026-06-10T10:31:12Z,stcontosohr,GetBlob,OAuth,52.170.12.45:50140,c9f4d3b2-3702-4c66-8d42-bb0011224455,jamest@contoso.com,04b07795-8ddb-461a-bbee-02f9e1bf7b46,https://stcontosohr.blob.core.windows.net/onboarding/handbook-2026.pdf,/stcontosohr/onboarding/handbook-2026.pdf,200,Success,3145728,0,"azsdk-net-Storage.Blobs/12.19.1 (.NET 8.0.4)",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e08
2026-06-10T11:02:37Z,stcontosofin,PutBlob,OAuth,20.98.111.30:53221,d1e5f4c3-4711-4d77-9e53-cc0011225566,svc-backup@contoso.com,a8f7b210-1c2d-4e3f-90ab-1122334455aa,https://stcontosofin.blob.core.windows.net/backups/nightly/ledger-2026-06-10.bak,/stcontosofin/backups/nightly/ledger-2026-06-10.bak,201,Created,0,53477376,"azcopy/10.24.0 Azure-Storage/0.15",StorageWrite,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e09
2026-06-10T08:03:11Z,stcontosofin,GetBlobServiceProperties,OAuth,20.98.111.30:50880,d1e5f4c3-4711-4d77-9e53-cc0011225566,svc-backup@contoso.com,a8f7b210-1c2d-4e3f-90ab-1122334455aa,https://stcontosofin.blob.core.windows.net/?restype=service&comp=properties,/stcontosofin,200,Success,1536,0,"azcopy/10.24.0 Azure-Storage/0.15",StorageRead,HTTPS,TLS 1.2,5a1c9d22-1f01-4a7e-9b11-0a1b2c3d4e10
