TimeGenerated,AADTenantId,UserPrincipalName,UserId,UserDisplayName,UserType,SignInIdentifierType,AppDisplayName,AppId,ResourceDisplayName,IPAddress,Location,LocationDetails,IsInteractive,ClientAppUsed,UserAgent,DeviceDetail,AuthenticationMethodsUsed,AuthenticationProtocol,ConditionalAccessStatus,AppliedConditionalAccessPolicies,RiskLevelAggregated,RiskState,RiskEventTypes_V2,ResultType,ResultDescription,Status,CorrelationId,SessionId,SessionLifetimePolicies
2026-02-03T04:30:48.134817Z,11111111-2222-3333-4444-555555555555,bob.roy@contoso.com,2725fc05-03e6-5416-ad76-7549fd098072,Bob Roy,member,userPrincipalName,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,177.54.0.187,BR,"{""countryOrRegion"":""BR"",""city"":""Sao Paulo"",""state"":""SP"",""geoCoordinates"":{""latitude"":-23.5505,""longitude"":-46.6333}}",true,Mobile Apps and Desktop clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,"{""deviceId"":""a7ab411f-e7dd-4070-a537-a349998daedc"",""operatingSystem"":""iOS 17"",""browser"":""Edge"",""isManaged"":true,""isCompliant"":false}",Password;SMS,saml20,success,[],low,confirmedSafe,unfamiliarFeatures,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",f08e34bc-11fb-4b09-ae94-17a011034d7c,e5d5a775-a4c8-4081-b077-c5cd24c0f066,
2026-02-08T17:19:48.134817Z,11111111-2222-3333-4444-555555555555,alice.singh@contoso.com,6bc3533f-9c0b-5b9e-93ad-8ea04aa24579,Alice Singh,member,userPrincipalName,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,18.184.0.43,DE,"{""countryOrRegion"":""DE"",""city"":""Frankfurt"",""state"":""HE"",""geoCoordinates"":{""latitude"":50.1109,""longitude"":8.6821}}",false,Other clients,Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,"{""deviceId"":""0e22363c-f4ba-4a0d-af83-e9e4c54e6863"",""operatingSystem"":""iOS 17"",""browser"":""Firefox"",""isManaged"":false,""isCompliant"":false}",Password;App Verification code,saml20,success,"[{""name"":""Require MFA for All Users"",""result"":""success""},{""name"":""Sign-in risk policy"",""result"":""success""},{""name"":""Require MFA for Admins"",""result"":""success""}]",high,none,anonymizedIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",152a05b8-f887-4eb8-9627-5e8d6886f00d,06ab742c-7c46-48a1-8f2d-ac6129cb6143,
2026-02-03T05:41:48.134817Z,11111111-2222-3333-4444-555555555555,app.spn@contoso.com,acb8bfdf-c360-5893-87ee-995496e973b4,App Service Principal,member,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,103.21.244.192,IN,"{""countryOrRegion"":""IN"",""city"":""Kolkata"",""state"":""WB"",""geoCoordinates"":{""latitude"":22.5726,""longitude"":88.3639}}",true,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,"{""deviceId"":""8e2e9346-d7e6-459a-a419-08640ff30ec1"",""operatingSystem"":""Windows 10"",""browser"":""Edge"",""isManaged"":true,""isCompliant"":false}",FIDO2,ropc,notApplied,[],none,dismissed,anonymizedIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",0419a6e7-4699-41a9-aaa6-7bbc9bd59063,f3ff47b1-ea38-45bf-9274-f3b219a658b1,
2026-02-05T05:56:48.134817Z,11111111-2222-3333-4444-555555555555,hr.manager@contoso.com,af07f27e-b4d8-56cf-9578-7a166cd954f3,HR Manager,member,userPrincipalName,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,18.184.0.149,DE,"{""countryOrRegion"":""DE"",""city"":""Frankfurt"",""state"":""HE"",""geoCoordinates"":{""latitude"":50.1109,""longitude"":8.6821}}",true,Mobile Apps and Desktop clients,Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,"{""deviceId"":""e8e034cc-98db-4663-a46c-0e53d89a5dd0"",""operatingSystem"":""Linux"",""browser"":""Firefox"",""isManaged"":true,""isCompliant"":false}",PTA;Password,none,failure,"[{""name"":""Block legacy auth"",""result"":""failure""},{""name"":""Require compliant device"",""result"":""failure""},{""name"":""Require MFA for All Users"",""result"":""notApplied""}]",low,confirmedCompromised,maliciousIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",e6d36770-7bfe-4581-9583-7b1f20ec39d5,332579ae-c9cd-48ab-ab79-ff2af29d12da,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-03T09:31:48.134817Z,11111111-2222-3333-4444-555555555555,alice.singh@contoso.com,6bc3533f-9c0b-5b9e-93ad-8ea04aa24579,Alice Singh,member,userPrincipalName,SharePoint Online,00000003-0000-0ff1-ce00-000000000000,SharePoint Online,103.21.244.19,IN,"{""countryOrRegion"":""IN"",""city"":""Bengaluru"",""state"":""KA"",""geoCoordinates"":{""latitude"":12.9716,""longitude"":77.5946}}",true,MAPI,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,"{""deviceId"":""ab8a0ded-35a5-4b51-a786-437d23ace8ee"",""operatingSystem"":""Android 14"",""browser"":""Firefox"",""isManaged"":false,""isCompliant"":false}",Password,wsFederation,failure,[],low,remediated,maliciousIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",a5276d54-a6e6-4c79-90c7-a0abdd2d830e,95474371-3367-487f-ac7f-759c74b19f89,
2026-02-08T21:09:48.134817Z,11111111-2222-3333-4444-555555555555,evan.guest@fabrikam.com,a16014ba-de70-541e-9f4c-349b24ff9369,Evan Guest,guest,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,103.21.244.241,IN,"{""countryOrRegion"":""IN"",""city"":""Bengaluru"",""state"":""KA"",""geoCoordinates"":{""latitude"":12.9716,""longitude"":77.5946}}",true,MAPI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,"{""deviceId"":""db298515-c513-47f5-bc23-9e775a93aa9c"",""operatingSystem"":""Linux"",""browser"":""Firefox"",""isManaged"":true,""isCompliant"":false}",PHS;Password,oAuth2,failure,"[{""name"":""Require MFA for All Users"",""result"":""failure""},{""name"":""Sign-in risk policy"",""result"":""success""}]",hidden,atRisk,maliciousIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",baf652f4-b37b-4e05-93e3-1b03006a1c06,f0a65861-8de6-417c-91f8-bc54ef381914,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-03T03:35:48.134817Z,11111111-2222-3333-4444-555555555555,bob.roy@contoso.com,2725fc05-03e6-5416-ad76-7549fd098072,Bob Roy,member,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,177.54.0.213,BR,"{""countryOrRegion"":""BR"",""city"":""Sao Paulo"",""state"":""SP"",""geoCoordinates"":{""latitude"":-23.5505,""longitude"":-46.6333}}",true,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,"{""deviceId"":""d3f05350-22c7-449d-82c4-34e023c6bcbc"",""operatingSystem"":""Windows 10"",""browser"":""Edge"",""isManaged"":false,""isCompliant"":true}",Password;App Verification code,wsFederation,failure,"[{""name"":""Require MFA for All Users"",""result"":""failure""},{""name"":""Block legacy auth"",""result"":""success""}]",low,atRisk,suspiciousIPAddress,50055,Password is expired,"{""errorCode"":50055,""failureReason"":""Password is expired"",""additionalDetails"":null}",d8d2aa3f-b4ba-4436-b638-6130ad45d79e,d400c2d2-e906-4ddb-ae64-56e15b5fe9d9,
2026-02-06T17:17:48.134817Z,11111111-2222-3333-4444-555555555555,alice.singh@contoso.com,6bc3533f-9c0b-5b9e-93ad-8ea04aa24579,Alice Singh,member,userPrincipalName,Azure Portal,797f4846-ba00-4fd7-ba43-dac1f8f63013,Azure Resource Manager,18.184.0.175,DE,"{""countryOrRegion"":""DE"",""city"":""Frankfurt"",""state"":""HE"",""geoCoordinates"":{""latitude"":50.1109,""longitude"":8.6821}}",true,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 Version/17.0 Mobile/15E148 Safari/604.1,"{""deviceId"":""6819a748-83e3-4af7-b808-f3bf66641b4c"",""operatingSystem"":""Windows 11"",""browser"":""Edge"",""isManaged"":false,""isCompliant"":true}",Password;App Verification code,ropc,notApplied,"[{""name"":""Require compliant device"",""result"":""failure""}]",low,atRisk,leakedCredentials,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",4a51f5eb-f7b7-4f67-8bab-717bbe57dcfd,d2bfd613-fd93-4d4b-b879-9b9328081585,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-07T06:08:48.134817Z,11111111-2222-3333-4444-555555555555,disha.mukherjee@contoso.com,db4fe0e3-aa4a-50fa-9e76-f2dbe937a566,Disha Mukherjee,member,userPrincipalName,Azure Portal,797f4846-ba00-4fd7-ba43-dac1f8f63013,Azure Resource Manager,52.170.12.202,US,"{""countryOrRegion"":""US"",""city"":""Seattle"",""state"":""WA"",""geoCoordinates"":{""latitude"":47.6062,""longitude"":-122.3321}}",true,SMTP,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,"{""deviceId"":""82a2e685-3b37-4e4a-94cf-953a446566c2"",""operatingSystem"":""Windows 10"",""browser"":""Edge"",""isManaged"":false,""isCompliant"":false}",Password;SMS,deviceCode,notApplied,"[{""name"":""Require MFA for Admins"",""result"":""success""},{""name"":""Require compliant device"",""result"":""failure""}]",low,atRisk,none,50076,Strong authentication is required,"{""errorCode"":50076,""failureReason"":""Strong authentication is required"",""additionalDetails"":null}",aa443621-a974-43f6-af1a-ab65f44670f0,2cf6474c-b1e4-487a-983c-bff26bce1313,
2026-02-08T08:49:48.134817Z,11111111-2222-3333-4444-555555555555,hr.manager@contoso.com,af07f27e-b4d8-56cf-9578-7a166cd954f3,HR Manager,member,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,95.213.0.241,RU,"{""countryOrRegion"":""RU"",""city"":""Moscow"",""state"":""MOW"",""geoCoordinates"":{""latitude"":55.7558,""longitude"":37.6173}}",true,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 Version/17.0 Mobile/15E148 Safari/604.1,"{""deviceId"":""4b8d23c7-8ea4-4677-a269-749d2df00837"",""operatingSystem"":""macOS 14"",""browser"":""Firefox"",""isManaged"":false,""isCompliant"":false}",PTA;Password,saml20,failure,[],hidden,remediated,anonymizedIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",750fefa8-50fc-4800-9c2c-ca45c2faefd4,ad98cf50-7578-4e15-a2b2-a7323a771d97,
2026-02-09T03:09:48.134817Z,11111111-2222-3333-4444-555555555555,disha.mukherjee@contoso.com,db4fe0e3-aa4a-50fa-9e76-f2dbe937a566,Disha Mukherjee,member,userPrincipalName,Azure Portal,797f4846-ba00-4fd7-ba43-dac1f8f63013,Azure Resource Manager,103.21.244.182,IN,"{""countryOrRegion"":""IN"",""city"":""Kolkata"",""state"":""WB"",""geoCoordinates"":{""latitude"":22.5726,""longitude"":88.3639}}",false,Browser,python-requests/2.31.0,"{""deviceId"":""ddd546bc-d295-49df-bc9d-bcdb13c10ca4"",""operatingSystem"":""Windows 10"",""browser"":""Firefox"",""isManaged"":false,""isCompliant"":false}",PHS;Password,ropc,notApplied,[],medium,remediated,unfamiliarFeatures,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",3de4d766-aedc-4ca6-9b43-732d92799f3e,387b1826-81df-47a4-af6e-95cc39f44ee8,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-05T23:43:48.134817Z,11111111-2222-3333-4444-555555555555,svc-backup@contoso.com,46b994c4-c83e-5bd1-928b-fd9efba3100c,svc-backup,member,userPrincipalName,Azure Portal,797f4846-ba00-4fd7-ba43-dac1f8f63013,Azure Resource Manager,177.54.0.84,BR,"{""countryOrRegion"":""BR"",""city"":""Sao Paulo"",""state"":""SP"",""geoCoordinates"":{""latitude"":-23.5505,""longitude"":-46.6333}}",false,IMAP,python-requests/2.31.0,"{""deviceId"":""fff520c4-fad5-44e8-b56e-86384fa0e28f"",""operatingSystem"":""macOS 14"",""browser"":""Safari"",""isManaged"":false,""isCompliant"":true}",Password;SMS,none,failure,"[{""name"":""Require compliant device"",""result"":""failure""},{""name"":""Block legacy auth"",""result"":""success""}]",hidden,dismissed,unfamiliarFeatures,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",ffb6354a-598d-4a7c-8393-1150d14f29ea,961b1f45-3095-4ecb-83fe-8da6f30e2f64,
2026-02-06T05:42:48.134817Z,11111111-2222-3333-4444-555555555555,it.support@contoso.com,2780718e-2d6d-57ff-9feb-54d8abb82e62,IT Support,member,userPrincipalName,SharePoint Online,00000003-0000-0ff1-ce00-000000000000,SharePoint Online,5.30.0.173,AE,"{""countryOrRegion"":""AE"",""city"":""Dubai"",""state"":""DU"",""geoCoordinates"":{""latitude"":25.2048,""longitude"":55.2708}}",true,Other clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{""deviceId"":""4f84ca3b-37f9-4865-8eb9-cbb8b57c8df5"",""operatingSystem"":""Windows 11"",""browser"":""Edge"",""isManaged"":true,""isCompliant"":true}",PHS;Password,saml20,notApplied,"[{""name"":""Sign-in risk policy"",""result"":""success""}]",medium,dismissed,unlikelyTravel,50079,User needs to use multi-factor authentication,"{""errorCode"":50079,""failureReason"":""User needs to use multi-factor authentication"",""additionalDetails"":null}",7c4bddb5-fd09-4e69-a645-1dcfc554b5f9,aef8effd-2d1c-4f69-9f92-0a7c7775eccc,
2026-02-03T09:36:48.134817Z,11111111-2222-3333-4444-555555555555,it.support@contoso.com,2780718e-2d6d-57ff-9feb-54d8abb82e62,IT Support,member,userPrincipalName,SharePoint Online,00000003-0000-0ff1-ce00-000000000000,SharePoint Online,18.184.0.184,DE,"{""countryOrRegion"":""DE"",""city"":""Frankfurt"",""state"":""HE"",""geoCoordinates"":{""latitude"":50.1109,""longitude"":8.6821}}",false,Other clients,Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,"{""deviceId"":""bad44690-7876-4d83-8bc5-96237e383a8f"",""operatingSystem"":""Windows 11"",""browser"":""Edge"",""isManaged"":false,""isCompliant"":false}",Password;SMS,saml20,success,"[{""name"":""Require MFA for Admins"",""result"":""success""},{""name"":""Block legacy auth"",""result"":""success""},{""name"":""Require MFA for All Users"",""result"":""notApplied""}]",none,none,none,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",93646c4b-d590-40c8-a0ef-461dbc1de376,4a30dfb4-4693-4752-94c9-fb079ad4817f,SignInFrequency=8h;PersistentBrowser=disabled
