TimeGenerated,OfficeWorkload,RecordType,Operation,UserId,UserType,ResultStatus,ClientIP,Client_IPAddress,ActorIpAddress,OfficeObjectId,SourceFileName,Site_Url,Parameters,ClientInfoString,UserAgent
2026-06-10T09:04:37Z,SharePoint,SharePointFileOperation,FileDownloaded,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Board-Deck-Q2.pptx,Board-Deck-Q2.pptx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:05:52Z,SharePoint,SharePointFileOperation,FileDownloaded,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Salary-Bands.xlsx,Salary-Bands.xlsx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:06:30Z,SharePoint,SharePointSharingOperation,SharingSet,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Vendor-Bank-Details.xlsx,Vendor-Bank-Details.xlsx,https://contoso.sharepoint.com/sites/Finance,"[{""Name"":""TargetUserOrGroupName"",""Value"":""external-share@login-contoso-sso.com""},{""Name"":""TargetUserOrGroupType"",""Value"":""Guest""}]",,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:07:14Z,SharePoint,SharePointSharingOperation,AnonymousLinkCreated,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Board-Deck-Q2.pptx,Board-Deck-Q2.pptx,https://contoso.sharepoint.com/sites/Finance,"[{""Name"":""SharingType"",""Value"":""Anonymous""}]",,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:08:48Z,OneDrive,SharePointFileOperation,FileSyncDownloadedFull,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso-my.sharepoint.com/personal/alexw_contoso_com/Documents,,https://contoso-my.sharepoint.com/personal/alexw_contoso_com,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:12:05Z,MicrosoftTeams,MicrosoftTeams,MessageSent,meganb@contoso.com,Regular,Succeeded,52.170.12.45,52.170.12.45,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Teams/1.6
2026-06-10T09:15:39Z,MicrosoftTeams,MicrosoftTeams,MemberAdded,jamest@contoso.com,Regular,Succeeded,20.98.111.30,20.98.111.30,,,,,"[{""Name"":""Members"",""Value"":""dvora@contoso.com""}]",,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Teams/1.6
2026-06-10T09:22:11Z,Exchange,ExchangeItem,MailItemsAccessed,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""Folder"",""Value"":""Inbox""}]",Client=OWA;Action=ViaProxy,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:28:50Z,Exchange,ExchangeItem,Send,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""Subject"",""Value"":""RE: Wire approval""}]",Client=OWA;Action=ViaProxy,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:34:27Z,SharePoint,SharePointFileOperation,FileAccessed,priya.menon@contoso.com,Regular,Succeeded,52.170.12.45,52.170.12.45,,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Q2-Plan.xlsx,Q2-Plan.xlsx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2026-06-10T09:41:13Z,AzureActiveDirectory,AzureActiveDirectory,Add member to role.,itadmin@contoso.com,Admin,Succeeded,20.98.111.30,20.98.111.30,20.98.111.30,,,,"[{""Name"":""Role.DisplayName"",""Value"":""Exchange Administrator""},{""Name"":""TargetUser"",""Value"":""alexw@contoso.com""}]",,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2026-06-10T09:55:02Z,Exchange,ExchangeAdmin,Set-Mailbox,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""ForwardingSmtpAddress"",""Value"":""exfil-mailbox@badupdate-cdn.com""},{""Name"":""DeliverToMailboxAndForward"",""Value"":""False""}]",Client=Exchange Admin Center,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T10:06:41Z,Exchange,ExchangeItem,HardDelete,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""Folder"",""Value"":""Sent Items""}]",Client=OWA;Action=ViaProxy,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T10:18:09Z,OneDrive,SharePointFileOperation,FileDeleted,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso-my.sharepoint.com/personal/alexw_contoso_com/Documents/Payroll-2026.xlsx,Payroll-2026.xlsx,https://contoso-my.sharepoint.com/personal/alexw_contoso_com,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T10:31:55Z,SharePoint,SharePointFileOperation,FileDownloaded,jamest@contoso.com,Regular,Succeeded,20.98.111.30,20.98.111.30,,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Q2-Plan.xlsx,Q2-Plan.xlsx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2026-06-10T10:47:22Z,Exchange,ExchangeItem,MailItemsAccessed,jamest@contoso.com,Regular,Succeeded,20.98.111.30,20.98.111.30,,,,,"[{""Name"":""Folder"",""Value"":""Inbox""}]",Client=OWA;Action=ViaProxy,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
