TimeGenerated,Verb,RequestUri,User,SourceIps,ObjectRef,ResponseStatus,Stage,Level,AuditId,UserAgent,PodName
2026-06-10T11:14:52Z,delete,/api/v1/namespaces/kube-system/configmaps/azure-monitor-settings,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""configmaps"",""namespace"":""kube-system"",""name"":""azure-monitor-settings"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,b7e2d5a1-2007-4c30-8f55-9a1b2c3d4e07,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:16:27Z,create,/api/v1/namespaces/default/secrets,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""secrets"",""namespace"":""default"",""name"":""exfil-token"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,b7e2d5a1-2008-4c30-8f55-9a1b2c3d4e08,curl/8.5.0,kube-apiserver-aks-prod-01
2026-06-10T11:19:03Z,create,/api/v1/namespaces/kube-system/pods/exec?command=cat&command=%2Fvar%2Frun%2Fsecrets%2Fkubernetes.io%2Fserviceaccount%2Ftoken&container=konnectivity-agent,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""pods"",""namespace"":""kube-system"",""name"":""konnectivity-agent-5c9f7b6d8-jq4lm"",""subresource"":""exec"",""apiVersion"":""v1""}","{""metadata"":{},""code"":101}",ResponseStarted,Request,b7e2d5a1-2009-4c30-8f55-9a1b2c3d4e09,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:22:48Z,patch,/api/v1/namespaces/payments/serviceaccounts/deployer,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""serviceaccounts"",""namespace"":""payments"",""name"":""deployer"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,b7e2d5a1-2010-4c30-8f55-9a1b2c3d4e10,curl/8.5.0,kube-apiserver-aks-prod-01
2026-06-10T11:09:14Z,create,/api/v1/namespaces/monitoring/pods,"{""username"":""system:serviceaccount:monitoring:prometheus-operator"",""uid"":""3d7f9a22-0000-0000-0000-000000000222"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:monitoring"",""system:authenticated""]}","[""10.244.1.7""]","{""resource"":""pods"",""namespace"":""monitoring"",""name"":""prometheus-k8s-1"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,c4a8e1b3-3001-4d20-a7c6-1e2f3a4b5c01,prometheus-operator/v0.71.0,kube-apiserver-aks-prod-01
2026-06-10T11:25:31Z,delete,/api/v1/namespaces/default/pods/debug-shell,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""pods"",""namespace"":""default"",""name"":""debug-shell"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,b7e2d5a1-2011-4c30-8f55-9a1b2c3d4e11,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T10:41:58Z,update,/apis/apps/v1/namespaces/kube-system/deployments/coredns,"{""username"":""system:serviceaccount:kube-system:coredns-autoscaler"",""uid"":""5e1c2d33-0000-0000-0000-000000000333"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:kube-system"",""system:authenticated""]}","[""10.244.0.4""]","{""resource"":""deployments"",""namespace"":""kube-system"",""name"":""coredns"",""apiGroup"":""apps"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,c4a8e1b3-3002-4d20-a7c6-1e2f3a4b5c02,cluster-autoscaler/v1.29.0,kube-apiserver-aks-prod-01
2026-06-10T11:31:07Z,create,/apis/rbac.authorization.k8s.io/v1/namespaces/payments/rolebindings,"{""username"":""dvora@contoso.com"",""groups"":[""system:authenticated"",""platform-engineers""]}","[""52.170.12.45""]","{""resource"":""rolebindings"",""namespace"":""payments"",""name"":""ledger-deploy-rb"",""apiGroup"":""rbac.authorization.k8s.io"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,a1f3c9e0-1005-4a10-9b21-0d4e5f6a7b05,kubectl/v1.29.2 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:05:10Z,create,/api/v1/namespaces/default/pods,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""pods"",""namespace"":""default"",""name"":""node-shell-priv"",""apiVersion"":""v1""}","{""status"":""Failure"",""message"":""pods \""node-shell-priv\"" is forbidden: violates PodSecurity \""restricted:latest\"": privileged (container \""shell\"" must not set securityContext.privileged=true)"",""reason"":""Forbidden"",""code"":403}",ResponseComplete,RequestResponse,b7e2d5a1-2012-4c30-8f55-9a1b2c3d4e12,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:34:22Z,delete,/apis/rbac.authorization.k8s.io/v1/clusterrolebindings/ops-support-crb,"{""username"":""itadmin@contoso.com"",""groups"":[""system:authenticated"",""system:masters"",""cluster-admins""]}","[""20.98.111.30""]","{""resource"":""clusterrolebindings"",""name"":""ops-support-crb"",""apiGroup"":""rbac.authorization.k8s.io"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,d9b3f2c4-4001-4e10-b8d7-2f3a4b5c6d01,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
