
TimeGenerated,UserPrincipalName,AccountName,IPAddress,Computer,CorrelationId,OperationName,Status,Location,ResultDescription
2026-02-06 08:10:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:12:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:14:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:16:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:18:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:20:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Success,IN,Sign-in succeeded
2026-02-07 08:00:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:02:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:04:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:06:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:08:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:10:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:12:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:14:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:16:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:18:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Failure,IN,Invalid password
2026-02-07 08:20:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,UserLogin,Success,IN,Sign-in succeeded
2026-02-08 08:00:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:02:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:04:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:06:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:08:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:10:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:12:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:14:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:16:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:18:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Failure,IN,Invalid password
2026-02-08 08:20:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,UserLogin,Success,IN,Sign-in succeeded
2026-02-09 08:00:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:02:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:04:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:06:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:08:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:10:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:12:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:14:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:16:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:18:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Failure,IN,Invalid password
2026-02-09 08:20:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,UserLogin,Success,IN,Sign-in succeeded
2026-02-10 08:00:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:02:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:04:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:06:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:08:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:10:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:12:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:14:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:16:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:18:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Failure,IN,Invalid password
2026-02-10 08:20:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,UserLogin,Success,IN,Sign-in succeeded
