
TimeGenerated,UserPrincipalName,AccountName,IPAddress,Computer,CorrelationId,OperationName,TargetRole,Status
2026-02-05 08:32:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,RoleAssignment,Administrator,Success
2026-02-05 08:34:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,AddMemberToGroup,Administrator,Success
2026-02-05 08:36:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,RoleAssignment,Administrator,Success
2026-02-05 08:38:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,RoleAssignment,Administrator,Success
2026-02-05 08:40:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,AddMemberToGroup,Administrator,Success
2026-02-06 08:24:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,PasswordChange,Administrator,Success
2026-02-06 08:26:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,RoleAssignment,Administrator,Success
2026-02-06 08:28:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,PasswordChange,Administrator,Success
2026-02-06 08:30:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,RoleAssignment,Administrator,Success
2026-02-06 08:32:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,AddMemberToGroup,Administrator,Success
2026-02-06 08:34:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,PasswordChange,Administrator,Success
2026-02-06 08:36:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,AddMemberToGroup,Administrator,Success
2026-02-06 08:38:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,AddMemberToGroup,Administrator,Success
2026-02-06 08:40:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,PasswordChange,Administrator,Success
2026-02-07 08:24:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,PasswordChange,Administrator,Success
2026-02-07 08:26:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,PasswordChange,Administrator,Success
2026-02-07 08:28:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,RoleAssignment,Administrator,Success
2026-02-07 08:30:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,AddMemberToGroup,Administrator,Success
2026-02-07 08:32:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,PasswordChange,Administrator,Success
2026-02-07 08:34:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,AddMemberToGroup,Administrator,Success
2026-02-07 08:36:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,PasswordChange,Administrator,Success
2026-02-07 08:38:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,PasswordChange,Administrator,Success
2026-02-07 08:40:00,user7@contoso.com,user7,203.0.113.16,HOST07,session_07,PasswordChange,Administrator,Success
2026-02-08 08:24:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,RoleAssignment,Administrator,Success
2026-02-08 08:26:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,RoleAssignment,Administrator,Success
2026-02-08 08:28:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,PasswordChange,Administrator,Success
2026-02-08 08:30:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,RoleAssignment,Administrator,Success
2026-02-08 08:32:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,RoleAssignment,Administrator,Success
2026-02-08 08:34:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,AddMemberToGroup,Administrator,Success
2026-02-08 08:36:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,PasswordChange,Administrator,Success
2026-02-08 08:38:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,PasswordChange,Administrator,Success
2026-02-08 08:40:00,user8@contoso.com,user8,203.0.113.17,HOST08,session_08,AddMemberToGroup,Administrator,Success
2026-02-09 08:24:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,AddMemberToGroup,Administrator,Success
2026-02-09 08:26:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,AddMemberToGroup,Administrator,Success
2026-02-09 08:28:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,PasswordChange,Administrator,Success
2026-02-09 08:30:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,PasswordChange,Administrator,Success
2026-02-09 08:32:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,AddMemberToGroup,Administrator,Success
2026-02-09 08:34:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,RoleAssignment,Administrator,Success
2026-02-09 08:36:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,RoleAssignment,Administrator,Success
2026-02-09 08:38:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,RoleAssignment,Administrator,Success
2026-02-09 08:40:00,user9@contoso.com,user9,203.0.113.18,HOST09,session_09,PasswordChange,Administrator,Success
2026-02-10 08:24:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,PasswordChange,Administrator,Success
2026-02-10 08:26:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,RoleAssignment,Administrator,Success
2026-02-10 08:28:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,AddMemberToGroup,Administrator,Success
2026-02-10 08:30:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,AddMemberToGroup,Administrator,Success
2026-02-10 08:32:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,PasswordChange,Administrator,Success
2026-02-10 08:34:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,RoleAssignment,Administrator,Success
2026-02-10 08:36:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,PasswordChange,Administrator,Success
2026-02-10 08:38:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,AddMemberToGroup,Administrator,Success
2026-02-10 08:40:00,user10@contoso.com,user10,203.0.113.19,HOST10,session_10,RoleAssignment,Administrator,Success
