
TimeGenerated,UserPrincipalName,AccountName,OperationName,ResourceGroup,ResourceName,IPAddress,Computer,CorrelationId,Status
2026-02-07 08:45:00,user7@contoso.com,user7,DeleteResource,RGsession_07,Resource3,203.0.113.16,HOST07,session_07,Success
2026-02-07 08:50:00,user7@contoso.com,user7,DeleteResource,RGsession_07,Resource4,203.0.113.16,HOST07,session_07,Success
2026-02-08 08:30:00,user8@contoso.com,user8,DeleteResource,RGsession_08,Resource0,203.0.113.17,HOST08,session_08,Success
2026-02-08 08:35:00,user8@contoso.com,user8,StartVM,RGsession_08,Resource1,203.0.113.17,HOST08,session_08,Success
2026-02-08 08:40:00,user8@contoso.com,user8,StartVM,RGsession_08,Resource2,203.0.113.17,HOST08,session_08,Success
2026-02-08 08:45:00,user8@contoso.com,user8,DeleteResource,RGsession_08,Resource3,203.0.113.17,HOST08,session_08,Success
2026-02-08 08:50:00,user8@contoso.com,user8,CreateVM,RGsession_08,Resource4,203.0.113.17,HOST08,session_08,Success
2026-02-09 08:30:00,user9@contoso.com,user9,StartVM,RGsession_09,Resource0,203.0.113.18,HOST09,session_09,Success
2026-02-09 08:35:00,user9@contoso.com,user9,StartVM,RGsession_09,Resource1,203.0.113.18,HOST09,session_09,Success
2026-02-09 08:40:00,user9@contoso.com,user9,DeleteResource,RGsession_09,Resource2,203.0.113.18,HOST09,session_09,Success
2026-02-09 08:45:00,user9@contoso.com,user9,CreateVM,RGsession_09,Resource3,203.0.113.18,HOST09,session_09,Success
2026-02-09 08:50:00,user9@contoso.com,user9,UpdateResource,RGsession_09,Resource4,203.0.113.18,HOST09,session_09,Success
2026-02-10 08:30:00,user10@contoso.com,user10,StartVM,RGsession_10,Resource0,203.0.113.19,HOST10,session_10,Success
2026-02-10 08:35:00,user10@contoso.com,user10,UpdateResource,RGsession_10,Resource1,203.0.113.19,HOST10,session_10,Success
2026-02-10 08:40:00,user10@contoso.com,user10,CreateVM,RGsession_10,Resource2,203.0.113.19,HOST10,session_10,Success
2026-02-10 08:45:00,user10@contoso.com,user10,UpdateResource,RGsession_10,Resource3,203.0.113.19,HOST10,session_10,Success
2026-02-10 08:50:00,user10@contoso.com,user10,CreateVM,RGsession_10,Resource4,203.0.113.19,HOST10,session_10,Success
