
TimeGenerated,IncidentId,Title,Severity,Status,StartTime,EndTime,UserPrincipalName,AccountName,Computer,CorrelationId,AlertId
2026-02-03 09:40:00,2c2bb9ee-6bb5-4348-85e4-198a211ec1d7,Incident involving 6ff5fc8c-72bb-4502-8550-551aa3c96aa9,High,Active,2026-02-03 09:40:00,2026-02-03 10:10:00,user3@contoso.com,user3,HOST03,session_03,6ff5fc8c-72bb-4502-8550-551aa3c96aa9
2026-02-03 09:44:00,f2d61de7-8b1a-4418-878f-b47a5039acb4,Incident involving a65bc086-08b9-4c91-9900-a8ef65367093,Medium,Active,2026-02-03 09:44:00,2026-02-03 10:14:00,user3@contoso.com,user3,HOST03,session_03,a65bc086-08b9-4c91-9900-a8ef65367093
2026-02-03 09:48:00,9398d9bb-d1ac-4783-8c90-8a91a1899e60,Incident involving e2319689-f6ef-497d-b271-fc813235a96b,High,Active,2026-02-03 09:48:00,2026-02-03 10:18:00,user3@contoso.com,user3,HOST03,session_03,e2319689-f6ef-497d-b271-fc813235a96b
2026-02-03 09:52:00,b4203780-542f-4eea-a934-2e302ae22482,Incident involving b131c7cd-71d9-41d3-bf99-d317f202bbd8,Medium,Active,2026-02-03 09:52:00,2026-02-03 10:22:00,user3@contoso.com,user3,HOST03,session_03,b131c7cd-71d9-41d3-bf99-d317f202bbd8
2026-02-03 09:56:00,db5a4fd7-4e2f-4d41-a4a6-3861bea54598,Incident involving 68d8f419-6f28-4912-b96f-c4238c67d7f0,Low,Active,2026-02-03 09:56:00,2026-02-03 10:26:00,user3@contoso.com,user3,HOST03,session_03,68d8f419-6f28-4912-b96f-c4238c67d7f0
2026-02-04 09:40:00,9f51a89b-220f-43bb-b670-f7ab74c47e76,Incident involving 74b6ab8e-7cfb-458c-9e2e-a7b3cc975be7,Low,Active,2026-02-04 09:40:00,2026-02-04 10:10:00,user4@contoso.com,user4,HOST04,session_04,74b6ab8e-7cfb-458c-9e2e-a7b3cc975be7
2026-02-04 09:44:00,570d53bb-d368-4739-929d-53db54a72f3f,Incident involving cfcf85b8-6e0d-420f-8f2d-ca1f785cb2db,Medium,Active,2026-02-04 09:44:00,2026-02-04 10:14:00,user4@contoso.com,user4,HOST04,session_04,cfcf85b8-6e0d-420f-8f2d-ca1f785cb2db
2026-02-04 09:48:00,6efdd612-283d-4fc2-9e93-4b8f590413d3,Incident involving a3fb5bcb-4bcf-4c3f-b311-bca0341e96a7,High,Active,2026-02-04 09:48:00,2026-02-04 10:18:00,user4@contoso.com,user4,HOST04,session_04,a3fb5bcb-4bcf-4c3f-b311-bca0341e96a7
2026-02-04 09:52:00,f19720e8-6cd0-4829-86f7-87fb32708646,Incident involving 84fbac3c-8252-49c5-b580-49aa53a81b80,High,Active,2026-02-04 09:52:00,2026-02-04 10:22:00,user4@contoso.com,user4,HOST04,session_04,84fbac3c-8252-49c5-b580-49aa53a81b80
2026-02-04 09:56:00,ee58daa2-afa5-4f9e-b4e0-1c1300e9e655,Incident involving 6e10c733-2dc9-4a5b-bf62-a42535563765,High,Active,2026-02-04 09:56:00,2026-02-04 10:26:00,user4@contoso.com,user4,HOST04,session_04,6e10c733-2dc9-4a5b-bf62-a42535563765
2026-02-05 09:40:00,e273232a-267d-4a8b-9d23-72e36f2a4d3d,Incident involving adca8872-0914-44d3-9464-3690db4c30ca,Low,Active,2026-02-05 09:40:00,2026-02-05 10:10:00,user5@contoso.com,user5,HOST05,session_05,adca8872-0914-44d3-9464-3690db4c30ca
2026-02-05 09:44:00,1946f1ab-6b80-4ccd-ad6f-a8171f79c291,Incident involving bcd5cd61-b51a-451a-8cb6-b011960f4a20,Low,Active,2026-02-05 09:44:00,2026-02-05 10:14:00,user5@contoso.com,user5,HOST05,session_05,bcd5cd61-b51a-451a-8cb6-b011960f4a20
2026-02-05 09:48:00,e4e1850a-e57c-4577-8732-902126f8ee97,Incident involving cd146b6b-8700-4cd2-965b-a3eb63a3a8b1,High,Active,2026-02-05 09:48:00,2026-02-05 10:18:00,user5@contoso.com,user5,HOST05,session_05,cd146b6b-8700-4cd2-965b-a3eb63a3a8b1
2026-02-05 09:52:00,00da6601-62ac-416e-892d-f5d205a99a50,Incident involving 134a5cb0-a87a-44ed-8bb8-f9c595fd53de,High,Active,2026-02-05 09:52:00,2026-02-05 10:22:00,user5@contoso.com,user5,HOST05,session_05,134a5cb0-a87a-44ed-8bb8-f9c595fd53de
2026-02-05 09:56:00,ade1748f-a39b-4652-b146-cb6ef7ed0489,Incident involving 3e2e4602-05fa-4034-8182-91cdcfa14da0,Medium,Active,2026-02-05 09:56:00,2026-02-05 10:26:00,user5@contoso.com,user5,HOST05,session_05,3e2e4602-05fa-4034-8182-91cdcfa14da0
2026-02-06 09:40:00,a58fbe74-d973-472f-a822-aeb4a4dfc01e,Incident involving a606779d-c4f8-4c5a-85ac-c035747aaa87,Low,Active,2026-02-06 09:40:00,2026-02-06 10:10:00,user6@contoso.com,user6,HOST06,session_06,a606779d-c4f8-4c5a-85ac-c035747aaa87
2026-02-06 09:44:00,9d7ce338-2983-4b04-8d0f-f63fa559348f,Incident involving 0efc0af9-1d91-481e-8800-84efdd559863,Medium,Active,2026-02-06 09:44:00,2026-02-06 10:14:00,user6@contoso.com,user6,HOST06,session_06,0efc0af9-1d91-481e-8800-84efdd559863
2026-02-06 09:48:00,55554905-d0bb-48f1-8212-b8ab123c6103,Incident involving 1f0c39f8-01af-4dbd-acac-80586e54134a,Medium,Active,2026-02-06 09:48:00,2026-02-06 10:18:00,user6@contoso.com,user6,HOST06,session_06,1f0c39f8-01af-4dbd-acac-80586e54134a
2026-02-06 09:52:00,0ae90bf6-0da4-41c7-927a-be06a7c061a6,Incident involving 788cdaec-465d-4446-b5c3-3bf8a611c213,Low,Active,2026-02-06 09:52:00,2026-02-06 10:22:00,user6@contoso.com,user6,HOST06,session_06,788cdaec-465d-4446-b5c3-3bf8a611c213
2026-02-06 09:56:00,37381b34-5bc3-40d0-8799-c60dc16c66a1,Incident involving aa5c0a17-ad93-478e-9d86-6f0f908d106b,Medium,Active,2026-02-06 09:56:00,2026-02-06 10:26:00,user6@contoso.com,user6,HOST06,session_06,aa5c0a17-ad93-478e-9d86-6f0f908d106b
2026-02-07 09:40:00,55a8eada-cc93-44a4-aa21-eb26b7001f0d,Incident involving 29436cb2-faaa-4464-a302-81b3fb0f6923,High,Active,2026-02-07 09:40:00,2026-02-07 10:10:00,user7@contoso.com,user7,HOST07,session_07,29436cb2-faaa-4464-a302-81b3fb0f6923
2026-02-07 09:44:00,6622c714-2d11-4cbe-a1b1-1b63284a7dd6,Incident involving 97e8627a-b069-40ca-b7d1-501c6cd8821e,Medium,Active,2026-02-07 09:44:00,2026-02-07 10:14:00,user7@contoso.com,user7,HOST07,session_07,97e8627a-b069-40ca-b7d1-501c6cd8821e
2026-02-07 09:48:00,3753a220-299d-4f0e-a845-88d5a9917bf3,Incident involving 0202bea4-7e06-44cb-9591-a12747786ba5,Low,Active,2026-02-07 09:48:00,2026-02-07 10:18:00,user7@contoso.com,user7,HOST07,session_07,0202bea4-7e06-44cb-9591-a12747786ba5
2026-02-07 09:52:00,a0f44584-2838-4ca4-ab57-bf6691a2466b,Incident involving 35634a7a-a4c1-4ed4-9947-f6585a0122ca,Low,Active,2026-02-07 09:52:00,2026-02-07 10:22:00,user7@contoso.com,user7,HOST07,session_07,35634a7a-a4c1-4ed4-9947-f6585a0122ca
2026-02-07 09:56:00,d64b3d09-4296-48d5-953f-3eeaf38fad46,Incident involving a1dd39bc-c348-4751-bd34-a1b4492b09e0,Low,Active,2026-02-07 09:56:00,2026-02-07 10:26:00,user7@contoso.com,user7,HOST07,session_07,a1dd39bc-c348-4751-bd34-a1b4492b09e0
2026-02-08 09:40:00,59ef763b-4d19-4706-97e9-4ae8f1d845f1,Incident involving 58fc2b10-27e2-43a2-b088-aecdecd9e178,Medium,Active,2026-02-08 09:40:00,2026-02-08 10:10:00,user8@contoso.com,user8,HOST08,session_08,58fc2b10-27e2-43a2-b088-aecdecd9e178
2026-02-08 09:44:00,9d4aff33-cf07-4b22-a80a-b49b95ab51ed,Incident involving 21a1a796-ec8e-4b10-9572-46e73fdc10da,Low,Active,2026-02-08 09:44:00,2026-02-08 10:14:00,user8@contoso.com,user8,HOST08,session_08,21a1a796-ec8e-4b10-9572-46e73fdc10da
2026-02-08 09:48:00,796415d3-767d-4e49-8cf5-115fe85e04a6,Incident involving 452e7100-91a7-4925-af6d-e3ec2ad84bdd,High,Active,2026-02-08 09:48:00,2026-02-08 10:18:00,user8@contoso.com,user8,HOST08,session_08,452e7100-91a7-4925-af6d-e3ec2ad84bdd
2026-02-08 09:52:00,831bf584-9a3a-4ba0-9d0b-3c0006c70b48,Incident involving e079d84f-1750-46da-9f93-4c38623e4909,Medium,Active,2026-02-08 09:52:00,2026-02-08 10:22:00,user8@contoso.com,user8,HOST08,session_08,e079d84f-1750-46da-9f93-4c38623e4909
2026-02-08 09:56:00,9f88a41d-1270-45ee-b624-3f5e64c65274,Incident involving fdf2fbcf-7cda-4f41-9b2d-78c26053b386,Low,Active,2026-02-08 09:56:00,2026-02-08 10:26:00,user8@contoso.com,user8,HOST08,session_08,fdf2fbcf-7cda-4f41-9b2d-78c26053b386
2026-02-09 09:40:00,20500bc5-751c-4399-b2c0-c4d184add275,Incident involving 20f18eb0-5b26-46b7-9836-ca09d7121060,High,Active,2026-02-09 09:40:00,2026-02-09 10:10:00,user9@contoso.com,user9,HOST09,session_09,20f18eb0-5b26-46b7-9836-ca09d7121060
2026-02-09 09:44:00,0d60dc98-5f19-4dc9-8d75-e9b65e0c213b,Incident involving d81aad41-ec1c-4d97-ada4-752210d35a21,High,Active,2026-02-09 09:44:00,2026-02-09 10:14:00,user9@contoso.com,user9,HOST09,session_09,d81aad41-ec1c-4d97-ada4-752210d35a21
2026-02-09 09:48:00,f178c9d4-6e8a-4921-aacb-ac0ba832f92b,Incident involving 7e84d32f-720a-46d3-bf82-81516861eb1e,Low,Active,2026-02-09 09:48:00,2026-02-09 10:18:00,user9@contoso.com,user9,HOST09,session_09,7e84d32f-720a-46d3-bf82-81516861eb1e
2026-02-09 09:52:00,ae9f2641-4c43-4141-aab3-2b0e7afe3df6,Incident involving 2cee3afe-82a2-49d1-9d1c-6f5c01c30971,Low,Active,2026-02-09 09:52:00,2026-02-09 10:22:00,user9@contoso.com,user9,HOST09,session_09,2cee3afe-82a2-49d1-9d1c-6f5c01c30971
2026-02-09 09:56:00,782ed4d0-07e2-41ae-8449-e937878ae62f,Incident involving 95473134-8ca2-4f0d-82c0-c6318cc68b95,Medium,Active,2026-02-09 09:56:00,2026-02-09 10:26:00,user9@contoso.com,user9,HOST09,session_09,95473134-8ca2-4f0d-82c0-c6318cc68b95
2026-02-10 09:40:00,d05ea9b6-f303-47c7-b241-1d592d654de2,Incident involving 56917645-e4a4-4403-8f4e-bc629a61af1f,High,Active,2026-02-10 09:40:00,2026-02-10 10:10:00,user10@contoso.com,user10,HOST10,session_10,56917645-e4a4-4403-8f4e-bc629a61af1f
2026-02-10 09:44:00,bc3742a0-d495-43f0-8458-bcf47c583fb5,Incident involving c52a2838-c997-45ff-ae65-b67c5e000673,Low,Active,2026-02-10 09:44:00,2026-02-10 10:14:00,user10@contoso.com,user10,HOST10,session_10,c52a2838-c997-45ff-ae65-b67c5e000673
2026-02-10 09:48:00,65c545a7-7c25-4c24-91a1-1f249f354750,Incident involving a657fb70-3622-4222-b438-56b3cdda0a76,Medium,Active,2026-02-10 09:48:00,2026-02-10 10:18:00,user10@contoso.com,user10,HOST10,session_10,a657fb70-3622-4222-b438-56b3cdda0a76
2026-02-10 09:52:00,1573ff0b-ea31-4608-b5b6-531033cb277e,Incident involving 4472c905-2941-4768-af43-4a5c7b07e5f6,Medium,Active,2026-02-10 09:52:00,2026-02-10 10:22:00,user10@contoso.com,user10,HOST10,session_10,4472c905-2941-4768-af43-4a5c7b07e5f6
2026-02-10 09:56:00,3d6410af-83eb-4efa-8689-b229c46a0ef0,Incident involving c4f79cef-2583-4b1c-b828-ffb2ed4fefdf,Low,Active,2026-02-10 09:56:00,2026-02-10 10:26:00,user10@contoso.com,user10,HOST10,session_10,c4f79cef-2583-4b1c-b828-ffb2ed4fefdf
